Date,Open,High,Low,Close,AdjClose
"Jun 1, 2011","2,279.66","2,279.66","2,133.97","2,241.66","2,241.66"
"May 1, 2011","2,305.76","2,317.55","2,221.91","2,279.66","2,279.66"
"Apr 1, 2011","2,239.45","2,307.32","2,188.47","2,305.76","2,305.76"
"Mar 1, 2011","2,239.12","2,249.17","2,121.94","2,239.44","2,239.44"
"Feb 1, 2011","2,165.77","2,265.63","2,165.77","2,238.55","2,238.55"
"Jan 1, 2011","2,115.97","2,192.14","2,115.97","2,164.40","2,164.40"
"Dec 1, 2010","1,986.35","2,122.19","1,986.35","2,114.29","2,114.29"
"Nov 1, 2010","1,983.55","2,055.75","1,966.82","1,981.84","1,981.84"
"Oct 1, 2010","1,911.10","2,002.58","1,893.19","1,981.59","1,981.59"
"Sep 1, 2010","1,754.86","1,935.22","1,754.86","1,908.95","1,908.95"
"Aug 1, 2010","1,837.69","1,882.44","1,735.57","1,752.55","1,752.55"
"Jul 1, 2010","1,715.23","1,867.28","1,682.21","1,835.40","1,835.40"
"Jun 1, 2010","1,810.01","1,881.42","1,711.18","1,715.23","1,715.23"
"May 1, 2010","1,967.51","1,997.66","1,727.90","1,809.98","1,809.98"
"Apr 1, 2010","1,938.08","2,021.41","1,938.08","1,967.05","1,967.05"
"Mar 1, 2010","1,826.27","1,954.53","1,826.27","1,936.48","1,936.48"
"Feb 1, 2010","1,796.67","1,838.41","1,723.46","1,826.27","1,826.27"
"Jan 1, 2010","1,867.06","1,896.98","1,767.25","1,771.40","1,771.40"
"Dec 1, 2009","1,803.10","1,862.19","1,787.73","1,837.50","1,837.50"
"Nov 1, 2009","1,700.72","1,830.14","1,689.49","1,802.68","1,802.68"
"Oct 1, 2009","1,732.68","1,807.08","1,672.05","1,700.67","1,700.67"
"Sep 1, 2009","1,670.59","1,770.02","1,624.21","1,732.86","1,732.86"
"Aug 1, 2009","1,612.32","1,701.34","1,600.12","1,670.52","1,670.52"
"Jul 1, 2009","1,499.11","1,627.33","1,418.50","1,612.31","1,612.31"
"Jun 1, 2009","1,495.97","1,557.85","1,448.77","1,498.94","1,498.94"
"May 1, 2009","1,416.75","1,510.80","1,405.77","1,495.97","1,495.97"
"Apr 1, 2009","1,293.23","1,442.29","1,270.18","1,416.73","1,416.73"
"Mar 1, 2009","1,133.43","1,349.37","1,095.04","1,292.98","1,292.98"
"Feb 1, 2009","1,329.81","1,403.19","1,188.84","1,188.84","1,188.84"
"Jan 1, 2009","1,499.17","1,503.87","1,296.63","1,330.51","1,330.51"
"Dec 1, 2008","1,309.39","1,466.87","1,309.39","1,452.98","1,452.98"
"Nov 1, 2008","1,544.91","1,608.00","1,206.04","1,437.68","1,437.68"
"Oct 1, 2008","1,853.26","1,853.26","1,356.78","1,548.81","1,548.81"
"Sep 1, 2008","2,035.24","2,035.24","1,765.72","1,861.44","1,861.44"
"Aug 1, 2008","2,003.16","2,076.59","1,985.23","2,043.53","2,043.53"
"Jul 1, 2008","2,039.66","2,040.81","1,929.85","2,014.39","2,014.39"
"Jun 1, 2008","2,195.27","2,225.74","2,028.89","2,031.47","2,031.47"
"May 1, 2008","2,228.09","2,258.74","2,179.05","2,218.50","2,218.50"
"Apr 1, 2008","2,163.38","2,209.25","2,098.92","2,190.13","2,190.13"
"Mar 1, 2008","2,098.64","2,135.54","2,008.71","2,088.42","2,088.42"
"Feb 1, 2008","2,194.43","2,194.43","2,087.05","2,097.48","2,097.48"
"Jan 1, 2008","2,273.41","2,273.41","2,060.15","2,167.90","2,167.90"
"Dec 1, 2007","2,308.74","2,378.60","2,269.24","2,306.23","2,306.23"
"Nov 1, 2007","2,360.21","2,379.05","2,205.49","2,322.34","2,322.34"
"Oct 1, 2007","2,417.44","2,447.03","2,346.78","2,423.67","2,423.67"
"Sep 1, 2007","2,323.83","2,392.92","2,266.51","2,385.72","2,385.72"
"Aug 1, 2007","2,282.30","2,333.24","2,193.40","2,299.71","2,299.71"
"Jul 1, 2007","2,363.28","2,417.50","2,265.75","2,265.75","2,265.75"
"Jun 1, 2007","2,386.63","2,391.13","2,316.63","2,338.25","2,338.25"
"May 1, 2007","2,303.68","2,377.75","2,303.68","2,377.75","2,377.75"
"Apr 1, 2007","2,205.85","2,317.50","2,205.85","2,297.58","2,297.58"
"Mar 1, 2007","2,170.17","2,225.26","2,125.34","2,200.12","2,200.12"
"Feb 1, 2007","2,231.61","2,255.48","2,163.11","2,175.78","2,175.78"
"Jan 1, 2007","2,183.92","2,221.56","2,173.29","2,219.19","2,219.19"
"Dec 1, 2006","2,149.85","2,199.15","2,149.85","2,186.13","2,186.13"
"Nov 1, 2006","2,100.37","2,162.65","2,095.68","2,155.89","2,155.89"
"Oct 1, 2006","2,041.99","2,132.39","2,041.99","2,115.65","2,115.65"
"Sep 1, 2006","2,008.47","2,053.93","1,982.93","2,048.89","2,048.89"
"Aug 1, 2006","1,942.22","1,998.08","1,936.30","1,997.42","1,997.42"
"Jul 1, 2006","1,954.49","1,954.49","1,885.82","1,951.00","1,951.00"
"Jun 1, 2006","1,960.28","1,964.11","1,866.92","1,939.03","1,939.03"
"May 1, 2006","1,985.55","2,017.34","1,914.38","1,936.41","1,936.41"
"Apr 1, 2006","1,971.93","1,994.23","1,954.25","1,993.79","1,993.79"
"Mar 1, 2006","1,959.77","1,985.69","1,931.73","1,967.38","1,967.38"
"Feb 1, 2006","1,941.75","1,963.58","1,900.58","1,943.19","1,943.19"
"Jan 1, 2006","1,918.96","1,958.56","1,909.35","1,937.93","1,937.93"
"Dec 1, 2005","1,910.23","1,923.44","1,887.94","1,887.94","1,887.94"
"Nov 1, 2005","1,812.11","1,914.41","1,812.11","1,887.28","1,887.28"
"Oct 1, 2005","1,846.17","1,846.17","1,772.36","1,818.50","1,818.50"
"Sep 1, 2005","1,836.37","1,866.74","1,820.49","1,849.33","1,849.33"
"Aug 1, 2005","1,853.13","1,868.06","1,810.52","1,834.48","1,834.48"
"Jul 1, 2005","1,789.85","1,865.64","1,789.85","1,851.37","1,851.37"
"Jun 1, 2005","1,799.15","1,822.35","1,783.45","1,784.99","1,784.99"
"May 1, 2005","1,735.43","1,793.34","1,725.15","1,782.46","1,782.46"
"Apr 1, 2005","1,749.45","1,777.35","1,697.74","1,727.49","1,727.49"
"Mar 1, 2005","1,802.79","1,825.70","1,737.94","1,760.89","1,760.89"
