total_borrower_income,avg_annual_income,first_year_income,last_year_income,income_vs_target,initial_investment,total_payments_made,total_admin_costs,final_profit,total_return,cagr,prob_default,market_risk,insurance_needed,complexity_score,house_value,loan_duration,loan_amount
2366549.979694129,157769.99864627526,131974.10543637033,186475.9560280228,5.258999954875842,1520000.0,2366549.979694129,0,-169102.43991686346,-0.1112516052084628,-0.007831909781898516,0.0,0.0,False,1.0,1900000,15,1520000.0
2731971.4157226714,136598.57078613358,106948.83671019998,170973.77766172346,4.553285692871119,1520000.0,2731971.4157226714,0,-307746.7244913607,-0.20246495032326361,-0.011247740597155609,0.0,0.0,False,1.0,1900000,20,1520000.0
3150183.8552075434,126007.35420830174,92224.53382478678,166808.90751704888,4.200245140276724,1520000.0,3150183.8552075434,0,-505775.5132222761,-0.3327470481725501,-0.01605319433382324,0.0,0.0,False,1.0,1900000,25,1520000.0
3628313.616871839,120943.7872290613,82644.4240432839,169124.16045373617,4.031459574302043,1520000.0,3628313.616871839,0,-783934.5448713417,-0.5157464110995669,-0.023881759820788995,0.0,0.0,False,1.0,1900000,30,1520000.0
2155375.917611835,215537.59176118352,192386.18858782641,240263.98685670452,7.18458639203945,1600000.0,2155375.917611835,0,-78018.29030727921,-0.04876143144204951,-0.004986564317593034,0.0,0.0,False,1.0,2000000,10,1600000.0
2491105.241783294,166073.68278555293,138920.11098565298,196290.4800294977,5.535789426185097,1600000.0,2491105.241783294,0,-178002.56833354104,-0.11125160520846315,-0.007831909781898516,0.0,0.0,False,1.0,2000000,15,1600000.0
2875759.384971234,143787.9692485617,112577.72285284208,179972.39753865628,4.7929323082853905,1600000.0,2875759.384971234,0,-323943.9205172224,-0.20246495032326398,-0.011247740597155609,0.0,0.0,False,1.0,2000000,20,1600000.0
3315983.005481625,132639.320219265,97078.4566576703,175588.32370215672,4.4213106739755,1600000.0,3315983.005481625,0,-532395.27707608,-0.33274704817254996,-0.01605319433382324,0.0,0.0,False,1.0,2000000,25,1600000.0
3819277.4914440415,127309.24971480138,86994.13057187779,178025.4320565644,4.243641657160046,1600000.0,3819277.4914440415,0,-825194.2577593062,-0.5157464110995664,-0.023881759820788995,0.0,0.0,False,1.0,2000000,30,1600000.0
2263144.713492427,226314.4713492427,202005.49801721773,252277.18619953972,7.5438157116414235,1680000.0,2263144.713492427,0,-81919.2048226427,-0.048761431442049225,-0.004986564317593034,0.0,0.0,False,1.0,2100000,10,1680000.0
2615660.5038724584,174377.36692483057,145866.11653493563,206105.00403097257,5.812578897494352,1680000.0,2615660.5038724584,0,-186902.6967502178,-0.11125160520846297,-0.007831909781898516,0.0,0.0,False,1.0,2100000,15,1680000.0
3019547.354219795,150977.36771098975,118206.60899548419,188971.0174155891,5.032578923699658,1680000.0,3019547.354219795,0,-340141.11654308334,-0.2024649503232639,-0.011247740597155609,0.0,0.0,False,1.0,2100000,20,1680000.0
3481782.1557557075,139271.2862302283,101932.37949055381,184367.73988726456,4.6423762076742765,1680000.0,3481782.1557557075,0,-559015.0409298856,-0.33274704817255096,-0.01605319433382335,0.0,0.0,False,1.0,2100000,25,1680000.0
4010241.3660162427,133674.71220054143,91343.83710047168,186926.7036593926,4.455823740018047,1680000.0,4010241.3660162427,0,-866453.9706472713,-0.5157464110995662,-0.023881759820788995,0.0,0.0,False,1.0,2100000,30,1680000.0
2370913.509373019,237091.3509373019,211624.80744660908,264290.385542375,7.903045031243397,1760000.0,2370913.509373019,0,-85820.11933800665,-0.04876143144204924,-0.004986564317593034,0.0,0.0,False,1.0,2200000,10,1760000.0
2740215.7659616233,182681.0510641082,152812.12208421828,215919.52803244747,6.089368368803607,1760000.0,2740215.7659616233,0,-195802.8251668951,-0.11125160520846313,-0.007831909781898516,0.0,0.0,False,1.0,2200000,15,1760000.0
