loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Principal+Interest,6200000,20,20,4960000.0,0.8790322580645161,27654801.96,18069408.752289012,11228141.8,14404643.0,22218460.5,36408629.5,51460224.00000001,4065427.5,7867,0.9712345679012345,294572.5,9350184.78,9644757.28,0.1128552736154722,0.02647371462803716,0.03,22105.243219212905,0.138563871383667
Interest Only,6200000,20,25,4960000.0,0.8487903225806451,28666827.88,14959018.855667965,14107990.4,18162988.5,25342011.0,34529766.0,51739271.00000001,4175452.96875,7855,0.9697530864197531,338297.03125,9798768.715625,10137065.746875,0.1169648819293867,0.027415780123625444,0.02,18134.841086562297,0.12648415565490723
Principal+Interest,6200000,20,25,4960000.0,0.8487903225806451,29148712.55,17877498.286589637,11353349.9,16819983.25,24375804.5,36862007.25,55019615.60000002,3834257.5,7791,0.9618518518518518,375742.5,10191178.88,10566921.38,0.11822076590864161,0.027728902344725137,0.01,2673.793126884352,0.13277888298034668
Interest Only,6200000,20,30,4960000.0,0.8185483870967742,25638598.72,13945990.83520885,10825288.8,15466401.25,22633772.0,30976093.75,44914035.2,4111071.875,7907,0.9761728395061728,252678.125,8344774.3075,8597452.4325,0.11208254049695432,0.026219893920080617,0.05,31127.255543281757,0.12610101699829102
Principal+Interest,6200000,20,30,4960000.0,0.8185483870967742,27135275.5,14680961.972369177,12832970.5,16389969.25,24647212.0,33721226.75,42381263.30000001,3815638.7500000005,7893,0.9744444444444444,244361.25000000003,9202895.25,9447256.5,0.11581411620940707,0.02708400281526835,0.02,8342.036849054084,0.12583208084106445
Interest Only,6200000,25,25,4960000.0,0.8487903225806451,38851863.03,20199094.27624286,18540452.7,24643420.0,34335984.5,46504936.25,68485659.9,4766104.84375,9403,0.930990099009901,969832.65625,14564257.395625,15534090.051875,0.10696938479662532,0.025319254886668086,0.0,0.0,0.15980005264282227
Principal+Interest,6200000,25,25,4960000.0,0.8487903225806451,41844536.18,24824738.93148626,16812027.6,25549865.75,36242378.5,52895365.75,72618486.10000005,4214999.375,9246,0.9154455445544555,1047500.625,16357626.9075,17405127.5325,0.11077547209802652,0.02621925524576496,0.01,14335.842582907764,0.15898609161376953
Interest Only,6200000,25,30,4960000.0,0.8185483870967742,38598893.37,22633501.061190907,16279944.5,23807950.75,33496551.5,48655097.75,67302378.20000002,4629407.8125,9436,0.9342574257425743,919029.6875,14528185.20375,15447214.89125,0.10833639867577394,0.025585357214905402,0.02,10835.19256558541,0.1553783416748047
Principal+Interest,6200000,25,30,4960000.0,0.8185483870967742,43155365.47,35353288.05754191,14613796.8,22244609.0,36332201.5,48334742.5,73054132.50000003,4153887.5000000005,9325,0.9232673267326733,921112.5000000001,17078280.0,17999392.5,0.11391621162710863,0.026890318327596363,0.03,29182.44420376452,0.15684199333190918
Interest Only,6200000,30,30,4960000.0,0.8185483870967742,73134701.11,53436781.81954368,24990238.6,37505669.0,58918587.0,90878207.75,147711188.10000002,3758996.5625,9880,0.8165289256198347,3011628.4375,32207852.27375,35219480.71125,0.11464334373562601,0.027382665800971928,0.0,0.0,0.18849396705627441
Principal+Interest,6200000,30,30,4960000.0,0.8185483870967742,57997182.59,43758187.760721974,24588582.3,33636267.75,46088858.0,68504570.5,100487401.10000001,3848626.2500000005,10213,0.8440495867768595,2241373.7500000005,24629215.425,26870589.175,0.10565531910244919,0.025200885899226755,0.02,15993.879824973877,0.1977250576019287
Interest Only,6300000,10,10,5040000.0,0.9404761904761905,12425375.28,5163674.977592242,7189672.0,8357636.5,11179996.0,15395157.25,19012040.0,2446875.0,4100,1.0,0.0,2537912.19,2537912.19,0.12182436379126638,0.02813893195117756,0.1,67938.87402547721,0.0697331428527832
Principal+Interest,6300000,10,10,5040000.0,0.9404761904761905,11723184.01,4737865.645681997,6840698.8,8351708.25,11080276.0,14245477.0,18156583.000000004,2370000.0,4100,1.0,0.0,2259287.46,2259287.46,0.1142446564209807,0.026371188292530823,0.14,108985.79487432327,0.06976890563964844
Interest Only,6300000,10,15,5040000.0,0.9107142857142857,11564507.11,4709633.06786409,6760914.7,8415271.75,10341110.0,13648828.75,18770322.000000004,2371875.0,4100,1.0,0.0,2159860.495,2159860.495,0.1157527493063093,0.02667574742053791,0.16,59361.6681349641,0.06792998313903809
Principal+Interest,6300000,10,15,5040000.0,0.9107142857142857,10800851.68,4073969.3315705913,6244828.9,7896835.0,10190971.0,12740578.0,16499975.900000004,2295000.0,4100,1.0,0.0,1860725.155,1860725.155,0.10679582162857604,0.024573974591455938,0.16,118716.41173719773,0.06702637672424316
Interest Only,6300000,10,20,5040000.0,0.8809523809523809,11286960.41,4616607.282081158,6772385.5,7993952.5,10532862.5,13080165.75,16621387.400000006,2296875.0,4100,1.0,0.0,2052623.75,2052623.75,0.11628716717359922,0.026764303481457974,0.09,45329.67340840058,0.06596899032592773
Principal+Interest,6300000,10,20,5040000.0,0.8809523809523809,10789819.42,4484358.641640954,5924403.5,7416648.75,10049067.0,13354857.0,16533002.600000003,2220000.0,4100,1.0,0.0,1939056.235,1939056.235,0.1110681734051786,0.02554125903843052,0.16,150663.42918682678,0.06700277328491211
Interest Only,6300000,10,25,5040000.0,0.8511904761904762,10413067.93,4032084.913318627,5959308.2,7615253.25,9824573.0,11825340.25,16004761.700000003,2221875.0,4100,1.0,0.0,1708511.73,1708511.73,0.10945627993623752,0.025122709106364383,0.14,92943.68598598531,0.0652921199798584
Principal+Interest,6300000,10,25,5040000.0,0.8511904761904762,11074757.61,4845478.054347118,5576322.4,7617303.75,10308334.0,13474807.0,17605461.8,2145000.0,4100,1.0,0.0,2107654.04,2107654.04,0.11880334901380496,0.02731361850731817,0.15,130849.19967158297,0.07319402694702148
Interest Only,6300000,10,30,5040000.0,0.8214285714285714,10054141.45,3696243.4672889537,5920528.4,7194546.25,9694924.0,11701017.5,15683704.800000003,2146875.0,4100,1.0,0.0,1605562.49,1605562.49,0.1090949253685416,0.0249949490847603,0.13,116136.59431185252,0.07179594039916992
Principal+Interest,6300000,10,30,5040000.0,0.8214285714285714,10392750.64,4896479.881520041,5874665.9,7104681.5,9337709.0,11803265.5,16238756.00000001,2070000.0,4100,1.0,0.0,1800034.715,1800034.715,0.11406430300322601,0.026162731584382426,0.16,94852.75601502847,0.06962203979492188
