loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Principal+Interest,5100000,15,15,4080000.0,0.8897058823529411,14109213.5154,7140335.65033774,6762295.9,9142382.75,12580301.5,17404136.25,23251126.000000004,2711119.95,608833,0.9980868852459016,11380.05,3724019.8916,3735399.9416,0.11195760960138323,0.02579801924307845,0.0779,49753.416376478264,4.870686054229736
Interest Only,5100000,15,20,4080000.0,0.8529411764705882,14527581.4454,7112607.713843007,7091853.0,9511451.0,13067501.0,17901087.25,23856347.8,2765957.3203125,608493,0.9975295081967213,15605.1796875,3894486.06556875,3910091.24525625,0.11750791646373693,0.02705566390816494,0.0622,34623.28518875382,4.4053850173950195
Principal+Interest,5100000,15,20,4080000.0,0.8529411764705882,13447323.136,6693693.823311906,6433962.800000001,8676492.5,12059796.0,16690824.0,22243118.8,2601243.45,609055,0.9984508196721311,8756.55,3456489.3795,3465245.9295,0.11111845635510775,0.02554266571161823,0.0787,49496.95175191471,4.52874493598938
Interest Only,5100000,15,25,4080000.0,0.8161764705882353,13691802.069,6713265.2082181545,6805111.5,9008296.75,12281149.5,16787116.5,22162688.400000002,2654322.6140625,608548,0.9976196721311476,14739.8859375,3539175.01571875,3553914.90165625,0.11581204377524545,0.02660616980980901,0.0593,34585.8781019718,4.855892181396484
Principal+Interest,5100000,15,25,4080000.0,0.8161764705882353,12713625.6211,6342066.825701765,6139318.100000001,8225475.25,11382326.5,15756028.25,20843609.000000004,2488440.31875,608980,0.998327868852459,9059.68125,3155916.600975,3164976.282225,0.10970619634346179,0.02515775520019914,0.0818,49134.062745123774,5.774313926696777
Interest Only,5100000,15,30,4080000.0,0.7794117647058824,13028010.7022,6377813.825253377,6424438.1,8527704.25,11667833.5,16039720.25,21304238.900000002,2541832.321875,608481,0.9975098360655738,14730.178125,3273525.4670375,3288255.6451625,0.1151161203926887,0.02638737757888343,0.0635,34714.45170758017,5.724323034286499
Principal+Interest,5100000,15,30,4080000.0,0.7794117647058824,12075202.7506,6074257.466178033,5749877.0,7756223.75,10784978.5,15045308.0,19903179.7,2376497.475,609007,0.998372131147541,8502.525,2910308.3387,2918810.8637,0.10887594566692549,0.0249039198625447,0.0883,54108.09339772805,4.6071250438690186
Interest Only,5100000,20,20,4080000.0,0.8529411764705882,23306635.3262,12729027.768097688,10325752.7,14278787.5,20628750.5,29394848.0,39441742.6,3549358.5328125,789530,0.9747283950617284,234391.4671875,7863818.20514375,8098209.67233125,0.11585610503693178,0.02698116250062399,0.026,14166.421498805988,6.076368093490601
Principal+Interest,5100000,20,20,4080000.0,0.8529411764705882,21673635.0342,12507007.21316075,9177911.1,12872826.75,18894708.5,27369718.0,37351816.800000004,3309421.275,792759,0.9787148148148148,170578.725,7179583.1589,7350161.8839,0.11155447337436963,0.025940678272904805,0.0374,21761.468702296806,6.7622809410095215
Interest Only,5100000,20,25,4080000.0,0.8161764705882353,22368254.1324,12338320.614798613,9914979.3,13730183.75,19758790.0,27979354.5,37857639.00000001,3394944.6984375,788364,0.9732888888888889,238805.3015625,7475403.91253125,7714209.21409375,0.1158874444256266,0.026952767676344358,0.0272,14919.136929357599,6.538735866546631
Principal+Interest,5100000,20,25,4080000.0,0.8161764705882353,20335983.8095,12128255.018449845,8595930.9,11999932.5,17446600.0,25640816.5,35364235.0,3171467.025,793313,0.9793987654320988,158532.975,6587751.69795,6746284.67295,0.11015738961854549,0.025564201924906715,0.0411,24047.958266303747,6.419939041137695
Interest Only,5100000,20,30,4080000.0,0.7794117647058824,21077514.0764,11489550.681593731,9334086.8,12946101.25,18615467.5,26633058.75,35565006.900000006,3263038.321875,789195,0.9743148148148149,220711.678125,6900763.9237625,7121475.6018875,0.11485835540353029,0.02666238799229581,0.0295,14696.993002144935,6.305514097213745
Principal+Interest,5100000,20,30,4080000.0,0.7794117647058824,19287850.9372,11186303.94162735,8114762.1,11283845.75,16753625.5,24456685.0,33826772.400000006,3028335.8625,793243,0.9793123456790124,151664.1375,6141271.84535,6292935.98285,0.1095457466742984,0.0253734869784632,0.043,24346.919008004978,6.443417310714722
Interest Only,5100000,25,25,4080000.0,0.8161764705882353,35318872.3913,21985668.539448768,14263972.700000001,20493679.0,30377348.5,43882371.0,61459928.900000006,3565838.90625,917837,0.908749504950495,1070098.59375,13849714.984775,14919813.578525,0.11370389850073437,0.026791076145730175,0.0112,6017.591631759817,9.629247903823853
Principal+Interest,5100000,25,25,4080000.0,0.8161764705882353,32475651.9667,20976920.354368735,12616886.3,18367811.75,27633715.0,40414482.0,57625961.50000001,3423735.3375,933994,0.9247465346534653,738764.6625,12508554.87115,13247319.53365,0.10974867037462221,0.025773417561943956,0.0196,10428.434060874442,8.438776969909668
Interest Only,5100000,25,30,4080000.0,0.7794117647058824,33888830.0628,21410550.85841439,13750005.4,19798436.75,29046105.0,41646327.5,58741775.00000001,3413319.1640625,917245,0.9081633663366336,1035118.3359375,13213180.62829375,14248298.96423125,0.11384431625771829,0.026787916854418725,0.0126,6279.965728675863,8.626173973083496
Principal+Interest,5100000,25,30,4080000.0,0.7794117647058824,30914652.0564,19963172.12317259,11814230.1,17498890.5,26360449.5,38839958.5,55015936.00000001,3252158.175,932333,0.9231019801980198,722841.825,11816227.1532,12539068.9782,0.10951349354687179,0.025684675156994574,0.0196,10454.110393360243,8.545112133026123
Interest Only,5100000,30,30,4080000.0,0.7794117647058824,54092687.0594,38519854.193281546,20276530.6,29466838.75,43338310.5,66946279.5,100826032.4,2929890.375,986521,0.815306611570248,2520734.625,23548534.26885,26069268.89385,0.11238598350391982,0.026730481881631185,0.0056,2561.0244116915123,10.43655014038086
Principal+Interest,5100000,30,30,4080000.0,0.7794117647058824,49683586.334,36946983.37489305,17247149.4,26145538.5,40079586.5,61207152.5,93156413.10000001,2974566.0375,1016902,0.8404148760330579,1795433.9625,21327115.10685,23122549.06935,0.10908089127936371,0.0258292773101787,0.0089,4855.090518912769,10.401668071746826
Interest Only,5200000,10,10,4160000.0,0.9278846153846154,9881450.7445,3868361.8839545543,5654347.2,7097264.75,9204587.0,11935947.5,14893308.400000002,2006859.41875,409997,0.9999926829268293,15.58125,1930474.626975,1930490.208225,0.11833866162321405,0.027094330712365666,0.1176,72253.45910111039,3.667147159576416
Principal+Interest,5200000,10,10,4160000.0,0.9278846153846154,9433102.3753,3753928.3919623056,5384964.1,6760095.25,8754291.0,11322581.5,14396679.100000001,1929995.175,409999,0.9999975609756098,4.825,1760261.9144,1760266.7394,0.11233943272944047,0.025687771115051827,0.1376,88829.70050261228,3.0003273487091064
Interest Only,5200000,10,15,4160000.0,0.8918269230769231,9528516.6325,3729969.94465874,5425335.8,6850719.25,8871943.5,11498985.5,14399283.700000001,1931869.9875,409999,0.9999975609756098,5.0125,1801556.50075,1801561.51325,0.11811347223803659,0.026973601472134012,0.1195,70200.97443290065,2.965683937072754
Principal+Interest,5200000,10,15,4160000.0,0.8918269230769231,8991357.6825,3645013.212514869,5050503.5,6394148.0,8345495.0,10817941.5,13797640.4,1854969.85625,409995,0.9999878048780488,30.14375,1601202.724025,1601232.867775,0.11061287541514231,0.02521136655020051,0.1495,98886.45454765235,3.060054063796997
Interest Only,5200000,10,20,4160000.0,0.8557692307692308,9104948.8082,3464345.4823022406,5274537.600000001,6624420.25,8547111.0,10908221.0,13614626.700000009,1856870.1937500003,409999,0.9999975609756098,4.80625,1636487.986725,1636492.792975,0.11676356888041028,0.026601268593247074,0.1148,66982.48864069724,3.1304941177368164
Principal+Interest,5200000,10,20,4160000.0,0.8557692307692308,8598571.2222,3463371.627563563,4852938.7,6159978.75,8004587.5,10348383.5,12971266.000000002,1779979.9750000003,409997,0.9999926829268293,20.025000000000002,1452706.39705,1452726.42205,0.10937181288539843,0.024861424929502052,0.1466,92417.84365851914,3.052309989929199
Interest Only,5200000,10,25,4160000.0,0.8197115384615384,8737378.0059,3484049.022269609,4975562.4,6288198.0,8105672.0,10466170.75,13203494.600000001,1781865.725,409998,0.9999951219512195,9.275,1509094.628,1509103.903,0.11630276523458405,0.02643220366895993,0.1202,68494.17014002721,2.92582106590271
Principal+Interest,5200000,10,25,4160000.0,0.8197115384615384,8195957.7558,3279486.5075186533,4604896.8,5825975.5,7613007.0,9943427.5,12523817.400000004,1704995.7375,409999,0.9999975609756098,4.2625,1311510.5468,1311514.8093,0.10797777954120025,0.02446948572499763,0.1571,93588.21953340087,3.008502721786499
Interest Only,5200000,10,30,4160000.0,0.7836538461538461,8294991.1844,3263099.492470268,4736745.8,5974600.25,7716946.0,9921628.25,12654017.000000002,1706859.434375,409998,0.9999951219512195,15.565625,1342780.5337625,1342796.0993875,0.1144893006862544,0.025938908041397424,0.1244,66817.9321533108,3.177765130996704
Principal+Interest,5200000,10,30,4160000.0,0.7836538461538461,7775045.7811,3113956.2110426635,4370771.7,5557203.75,7215183.0,9439013.75,11900427.3,1629975.55,409997,0.9999926829268293,24.45,1160171.05265,1160195.50265,0.10608562871134652,0.023952840227480232,0.1584,93274.53218818973,3.0418479442596436
Interest Only,5200000,15,15,4160000.0,0.8918269230769231,15350681.5746,7465810.587376816,7612181.5,10060599.75,13806171.0,18896212.75,25080289.8,2938199.6609375,608574,0.9976622950819672,15862.8390625,4177166.78610625,4193029.62516875,0.11708280180423536,0.02703076377486391,0.0596,39280.275246661986,4.796000957489014
Principal+Interest,5200000,15,15,4160000.0,0.8918269230769231,14372689.7936,7214946.828905262,6926804.5,9276655.75,12961959.5,17796423.25,23505178.8,2771553.18125,608898,0.9981934426229508,10946.81875,3786893.992775,3797840.811525,0.11168598882753367,0.025756810430057397,0.0778,51215.31742553918,5.122445106506348
