ltv,lending_margin,additional_margin,annual_income_pct,annual_income,insurance_cost_pa,loan_amount,reinvest_fraction,total_cost_of_funds,mean_reinvestment,mean_cagr,xirr,prob_insurance_payout,mean_funder_earned
0.4,0.03,0.02,0.01,20000.0,0.01,800000.0,0.5,0.09000000000000001,586431.57,0.022195764951191688,0.006636555699882862,0.77,494443.25
0.4,0.03,0.02,0.01,20000.0,0.015,800000.0,0.5,0.09000000000000001,408192.02,0.0018228325004328028,0.0020201518687228415,0.9,467316.5
0.4,0.03,0.02,0.01,20000.0,0.02,800000.0,0.5,0.09000000000000001,275442.02,-0.018481453845968776,-0.0063754794786038405,0.99,338614.5
0.4,0.03,0.02,0.01,20000.0,0.025,800000.0,0.5,0.09000000000000001,185561.54,-0.037675818813006856,-0.01634956315218583,1.0,226151.625
0.4,0.03,0.02,0.01,20000.0,0.03,800000.0,0.5,0.09000000000000001,101204.42,-0.06640831624411303,-0.03523874112024439,1.0,133308.0
0.4,0.03,0.02,0.015,30000.0,0.01,800000.0,0.25,0.09000000000000001,130150.83,-0.021252090819583014,-0.0374697461116128,1.0,178803.625
0.4,0.03,0.02,0.015,30000.0,0.015,800000.0,0.25,0.09000000000000001,48088.18,-0.06878402594557653,-0.11784237326710734,1.0,61586.875
0.4,0.03,0.02,0.015,30000.0,0.02,800000.0,0.25,0.09000000000000001,-253761.2,nan,nan,1.0,15108.1875
0.4,0.03,0.02,0.015,30000.0,0.025,800000.0,0.25,0.09000000000000001,-882676.9,nan,nan,1.0,39602.0625
0.4,0.03,0.02,0.015,30000.0,0.03,800000.0,0.25,0.09000000000000001,-1274371.21,nan,nan,1.0,62175.75
0.4,0.03,0.025,0.01,20000.0,0.01,800000.0,0.5,0.095,634254.04,0.028578378593900444,0.008034275283688608,0.81,494128.25
0.4,0.03,0.025,0.01,20000.0,0.015,800000.0,0.5,0.095,405115.44,0.0024134969386908622,0.0011594708676219145,0.95,429386.125
0.4,0.03,0.025,0.01,20000.0,0.02,800000.0,0.5,0.095,269375.92,-0.01957373102513693,-0.007972389119313084,1.0,303429.875
0.4,0.03,0.025,0.01,20000.0,0.025,800000.0,0.5,0.095,181158.36,-0.03883063674457521,-0.01804939558782026,1.0,207361.875
0.4,0.03,0.025,0.01,20000.0,0.03,800000.0,0.5,0.095,104810.27,-0.06477266404834536,-0.03630555695537274,1.0,114806.125
0.4,0.03,0.025,0.015,30000.0,0.01,800000.0,0.25,0.095,135960.09,-0.019112788475109332,-0.03744067617951463,1.0,155456.0
0.4,0.03,0.025,0.015,30000.0,0.015,800000.0,0.25,0.095,46690.11,-0.07015674502752067,-0.12064709023312226,1.0,63255.0625
0.4,0.03,0.025,0.015,30000.0,0.02,800000.0,0.25,0.095,-262615.77,nan,nan,1.0,16189.6875
0.4,0.03,0.025,0.015,30000.0,0.025,800000.0,0.25,0.095,-822408.0,nan,nan,1.0,39151.875
0.4,0.03,0.025,0.015,30000.0,0.03,800000.0,0.25,0.095,-1219493.46,nan,nan,1.0,60676.4375
0.4,0.04,0.01,0.01,20000.0,0.01,800000.0,0.5,0.09,692845.37,0.03396838648802758,0.0113441748534584,0.75,615911.0
0.4,0.04,0.01,0.01,20000.0,0.015,800000.0,0.5,0.09,385757.4,-0.0013474465386923429,0.002693040729424334,0.95,515964.0
0.4,0.04,0.01,0.01,20000.0,0.02,800000.0,0.5,0.09,272239.93,-0.01905514956862764,-0.006053904220613138,1.0,351097.0
0.4,0.04,0.01,0.01,20000.0,0.025,800000.0,0.5,0.09,182749.57,-0.03841026490011523,-0.014112615794715122,1.0,274456.0
0.4,0.04,0.01,0.01,20000.0,0.03,800000.0,0.5,0.09,102807.46,-0.06567443556545416,-0.03341339073840932,1.0,141761.0
0.4,0.04,0.01,0.015,30000.0,0.01,800000.0,0.25,0.09,129469.8,-0.021508800311432097,-0.03549963816155577,1.0,184541.5
0.4,0.04,0.01,0.015,30000.0,0.015,800000.0,0.25,0.09,46846.01,-0.07000175166335876,-0.11771763752460529,1.0,70000.5
0.4,0.04,0.01,0.015,30000.0,0.02,800000.0,0.25,0.09,-257125.07,nan,nan,1.0,19686.0
0.4,0.04,0.01,0.015,30000.0,0.025,800000.0,0.25,0.09,-801208.29,nan,nan,1.0,47855.0
0.4,0.04,0.01,0.015,30000.0,0.03,800000.0,0.25,0.09,-1228030.15,nan,nan,1.0,67600.5
0.4,0.04,0.015,0.01,20000.0,0.01,800000.0,0.5,0.095,589110.61,0.02330618162491338,0.008561647464076172,0.8,569154.0
0.4,0.04,0.015,0.01,20000.0,0.015,800000.0,0.5,0.095,361342.56,-0.005069014914562464,0.0007427774753103744,1.0,470449.0
0.4,0.04,0.015,0.01,20000.0,0.02,800000.0,0.5,0.095,267372.69,-0.019939574911457147,-0.004477315161295348,0.99,398780.0
0.4,0.04,0.015,0.01,20000.0,0.025,800000.0,0.5,0.095,180152.56,-0.03909816591190707,-0.01651418472321342,1.0,234577.0
0.4,0.04,0.015,0.01,20000.0,0.03,800000.0,0.5,0.095,100588.21,-0.06669336257642688,-0.03563871134857166,1.0,130552.0
0.4,0.04,0.015,0.015,30000.0,0.01,800000.0,0.25,0.095,129374.1,-0.02154497650914633,-0.036111227783081845,1.0,187141.5
0.4,0.04,0.015,0.015,30000.0,0.015,800000.0,0.25,0.095,47020.96,-0.0698284015005729,-0.119547751395915,1.0,66821.0
0.4,0.04,0.015,0.015,30000.0,0.02,800000.0,0.25,0.095,-245859.29,nan,nan,1.0,17891.0
0.4,0.04,0.015,0.015,30000.0,0.025,800000.0,0.25,0.095,-883526.23,nan,nan,1.0,44286.0
0.4,0.04,0.015,0.015,30000.0,0.03,800000.0,0.25,0.095,-1334343.76,nan,nan,1.0,65510.0
0.4,0.04,0.02,0.01,20000.0,0.01,800000.0,0.5,0.1,482848.5,0.010163538680881157,0.004610455103398525,0.88,507121.0
0.4,0.04,0.02,0.01,20000.0,0.015,800000.0,0.5,0.1,398995.6,0.0009208177215234148,0.001038043068271488,0.92,436218.0
0.4,0.04,0.02,0.01,20000.0,0.02,800000.0,0.5,0.1,277131.95,-0.018181230425345585,-0.006364913258967153,1.0,337611.0
0.4,0.04,0.02,0.01,20000.0,0.025,800000.0,0.5,0.1,183501.1,-0.03821293046334051,-0.016577825547528402,1.0,230949.0
0.4,0.04,0.02,0.01,20000.0,0.03,800000.0,0.5,0.1,96858.58,-0.06845485803266393,-0.03642291090487215,1.0,127287.0
0.4,0.04,0.02,0.015,30000.0,0.01,800000.0,0.25,0.1,128533.54,-0.021863818965981996,-0.03905088243252142,1.0,161666.0
0.4,0.04,0.02,0.015,30000.0,0.015,800000.0,0.25,0.1,46473.56,-0.07037285343052224,-0.11811235788020658,1.0,65082.0
0.4,0.04,0.02,0.015,30000.0,0.02,800000.0,0.25,0.1,-250844.43,nan,nan,1.0,17255.5
0.4,0.04,0.02,0.015,30000.0,0.025,800000.0,0.25,0.1,-889932.01,nan,nan,1.0,45539.5
0.4,0.04,0.02,0.015,30000.0,0.03,800000.0,0.25,0.1,-1207713.97,nan,nan,1.0,60836.0
0.4,0.04,0.025,0.01,20000.0,0.01,800000.0,0.5,0.10500000000000001,477767.29,0.009175202981255737,0.004930406001483423,0.87,528029.0
0.4,0.04,0.025,0.01,20000.0,0.015,800000.0,0.5,0.10500000000000001,387355.92,-0.0007011621290300418,0.0013046541936758693,0.95,458260.0
0.4,0.04,0.025,0.01,20000.0,0.02,800000.0,0.5,0.10500000000000001,257808.05,-0.02172304265373115,-0.008715427144942223,1.0,292855.0
0.4,0.04,0.025,0.01,20000.0,0.025,800000.0,0.5,0.10500000000000001,179321.01,-0.03932042062000829,-0.01690050529431042,1.0,232917.0
0.4,0.04,0.025,0.01,20000.0,0.03,800000.0,0.5,0.10500000000000001,100846.95,-0.06657347317780216,-0.036076643265448016,1.0,118244.0
0.4,0.04,0.025,0.015,30000.0,0.01,800000.0,0.25,0.10500000000000001,130719.37,-0.021038759109406002,-0.037780072010867194,1.0,163632.5
0.4,0.04,0.025,0.015,30000.0,0.015,800000.0,0.25,0.10500000000000001,46587.05,-0.0702594758471915,-0.11961523245368144,1.0,63358.5
0.4,0.04,0.025,0.015,30000.0,0.02,800000.0,0.25,0.10500000000000001,-264204.92,nan,nan,1.0,17091.0
0.4,0.04,0.025,0.015,30000.0,0.025,800000.0,0.25,0.10500000000000001,-855043.41,nan,nan,1.0,43524.0
0.4,0.04,0.025,0.015,30000.0,0.03,800000.0,0.25,0.10500000000000001,-1343045.11,nan,nan,1.0,58721.5
0.4,0.05,0.01,0.01,20000.0,0.01,800000.0,0.5,0.09999999999999999,522448.44,0.016021664591516327,0.00819594263554202,0.85,625884.75
0.4,0.05,0.01,0.01,20000.0,0.015,800000.0,0.5,0.09999999999999999,353036.26,-0.006225231249261887,0.0012139280649341444,0.97,495792.0
0.4,0.05,0.01,0.01,20000.0,0.02,800000.0,0.5,0.09999999999999999,269847.22,-0.019488034552185396,-0.00463549024712584,1.0,395138.25
0.4,0.05,0.01,0.01,20000.0,0.025,800000.0,0.5,0.09999999999999999,183362.87,-0.038249168780307485,-0.014564624698586659,1.0,271303.875
0.4,0.05,0.01,0.01,20000.0,0.03,800000.0,0.5,0.09999999999999999,101774.61,-0.06614602273643533,-0.034045414924309236,1.0,145535.625
0.4,0.05,0.01,0.015,30000.0,0.01,800000.0,0.25,0.09999999999999999,128796.81,-0.02176374247847268,-0.03481350145654749,1.0,196001.4375
0.4,0.05,0.01,0.015,30000.0,0.015,800000.0,0.25,0.09999999999999999,45396.03,-0.07146261535230225,-0.1202234896879586,1.0,75923.4375
0.4,0.05,0.01,0.015,30000.0,0.02,800000.0,0.25,0.09999999999999999,-280924.02,nan,nan,1.0,18028.125
0.4,0.05,0.01,0.015,30000.0,0.025,800000.0,0.25,0.09999999999999999,-764052.59,nan,nan,1.0,51541.875
0.4,0.05,0.01,0.015,30000.0,0.03,800000.0,0.25,0.09999999999999999,-1345238.54,nan,nan,1.0,70885.125
