loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Interest Only,1100000,10,10,880000.0,0.8125,1280996.5121400494,519506.94545780146,718405.726375925,912156.5570860286,1187510.8468895205,1544694.8749811796,1960513.9210147893,457600.0,4000000.0,1.0,0.0,87804.28314112038,87804.28314112038,0.06709582492457944,0.016640920099730228,0.48704,94971.94822924728,0.5355169773101807
Principal+Interest,1100000,10,10,880000.0,0.8125,-990264.6398948192,387342.69437980826,-1499066.559386423,-1188933.4544445514,-922693.1061630334,-714429.0913423612,-568056.7495158862,457600.0,4000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1461153.8527332537,0.5602879524230957
Interest Only,1100000,10,15,880000.0,0.71875,1056978.2008521366,431235.4209192973,590515.7415083753,751199.6155267048,978854.6691487891,1275073.7084368349,1620850.1451168312,457600.0,4000000.0,1.0,0.0,38941.524413158964,38941.524413158964,0.056505643850016884,0.014024833805230964,0.60723,124437.32157925745,0.5704410076141357
Principal+Interest,1100000,10,15,880000.0,0.71875,-1214282.9511827414,465298.48090615176,-1826136.6632839525,-1454804.8622319154,-1134069.0526939915,-881888.32310091,-705698.0166773235,457600.0,4000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1556758.5530721105,0.5460121631622314
Interest Only,1100000,10,20,880000.0,0.625,832959.8895642086,343116.1638636568,462414.4457674985,589654.209117214,770122.2014085203,1006091.3451460308,1281825.1811315198,457600.0,4000000.0,1.0,0.0,11560.55764449993,11560.55764449993,0.04381791882450381,0.010863161172452616,0.75108,167416.11384436907,0.5688169002532959
Principal+Interest,1100000,10,20,880000.0,0.625,-1438301.2624706507,546497.1926279773,-2156900.9611545047,-1720435.0243464117,-1344975.7379975177,-1047741.5221762229,-839606.1627646545,457600.0,4000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1652363.2534109445,0.5437057018280029
Interest Only,1100000,10,25,880000.0,0.53125,608941.5782762994,255306.88852065406,334059.7775619247,428024.3516645634,561794.380091745,736799.3524134452,942805.3613358259,457600.0,4000000.0,1.0,0.0,1659.576922733954,1659.576922733954,0.027064221757160167,0.00664402022261032,0.89191,229064.3470295745,0.5637478828430176
Principal+Interest,1100000,10,25,880000.0,0.53125,-1662319.5737585647,629685.5394079384,-2490318.607771394,-1988725.629240742,-1554700.208589673,-1212766.0205961186,-971226.409080356,457600.0,4000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1747967.9537497924,0.5472261905670166
Interest Only,1100000,10,30,880000.0,0.4375,384923.2669883985,168293.5070648964,204910.33940547568,265815.5703222914,353323.6070409677,468121.9954622972,604671.4247702284,457600.0,4000000.0,1.0,0.0,55.72099928213017,55.72099928213017,-5.457799579611233e-06,,0.9819,310979.19423388335,0.5497300624847412
Principal+Interest,1100000,10,30,880000.0,0.4375,-1886337.8850464884,714168.5846501403,-2825976.3126058234,-2256174.475683391,-1764637.299720052,-1376950.1522979992,-1102417.8046607084,457600.0,4000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1843572.654088664,0.5451741218566895
