loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Principal+Interest,1200000,10,15,960000.0,0.71875,-1327752.5817625246,511563.4429849775,-1997636.3332609853,-1600872.1015783048,-1234402.737863025,-956034.736690691,-771593.0758714938,499200.0,400000.0,1.0,0.0,0.0,0.0,nan,,1.0,1700362.9788723444,0.42535877227783203
Interest Only,1200000,10,20,960000.0,0.625,909869.500924328,378362.2879551726,500337.2554986745,637818.28437655,844564.3916840059,1099892.7446903267,1400648.8536627055,499200.0,400000.0,1.0,0.0,13242.184817389263,13242.184817389263,0.04402356129256835,0.010914221549091618,0.7494,182736.72048006806,0.39565110206604004
Principal+Interest,1200000,10,20,960000.0,0.625,-1572509.65769497,601155.3071038797,-2359144.200792926,-1893573.7577803782,-1466887.1862950036,-1134985.593484354,-918115.3130266124,499200.0,400000.0,1.0,0.0,0.0,0.0,nan,,1.0,1804911.3142445514,0.35036325454711914
Interest Only,1200000,10,25,960000.0,0.53125,665112.4249918817,281549.7465959434,361470.3677812021,463690.87045396876,614743.1633492897,805714.8637543349,1026712.0044223262,499200.0,400000.0,1.0,0.0,1909.8966557647518,1909.8966557647518,0.02720475038369896,0.00667933499571197,0.8922,249992.21964951864,0.3385181427001953
Principal+Interest,1200000,10,25,960000.0,0.53125,-1817266.7336274148,692923.931869817,-2731696.3969030026,-2188041.9255189635,-1695930.0096884398,-1315200.2004051744,-1059410.8123712442,499200.0,400000.0,1.0,0.0,0.0,0.0,nan,,1.0,1909459.6496167704,0.3383030891418457
Interest Only,1200000,10,30,960000.0,0.4375,420355.34905943443,185601.24920931848,222003.02374159134,288089.7283701037,387140.7981440589,512083.5873692013,657436.7640258991,499200.0,400000.0,1.0,0.0,56.59398569289715,56.59398569289715,9.803841421374138e-05,,0.9801,339086.9903726543,0.3681468963623047
Principal+Interest,1200000,10,30,960000.0,0.4375,-2062023.8095598638,786107.3543066196,-3100504.83091924,-2481332.942386601,-1926666.3596945768,-1491224.7757677054,-1201550.1771138937,499200.0,400000.0,1.0,0.0,0.0,0.0,nan,,1.0,2014007.984988982,0.5975790023803711
Interest Only,1200000,15,15,960000.0,0.71875,1405376.134632673,748930.5571761348,646579.5129312763,877243.0516337377,1245517.197441346,1737937.3523560571,2363098.9720741343,748800.0,600000.0,1.0,0.0,88880.22288131334,88880.22288131334,0.05286268704669417,,0.612,165793.34576235744,0.5794711112976074
Principal+Interest,1200000,15,15,960000.0,0.71875,-2593442.332293438,1221037.7341295767,-4201505.013816585,-3180423.7897923337,-2344343.6458641114,-1726655.3032005522,-1304182.0626554815,748800.0,600000.0,1.0,0.0,0.0,0.0,nan,,1.0,2238961.033460333,0.5446088314056396
Interest Only,1200000,15,20,960000.0,0.625,1001116.9888402472,552942.395928694,444295.5720304939,613537.0390558278,881901.5407156348,1242649.2577697334,1703427.4505509874,748800.0,600000.0,1.0,0.0,25244.659961448167,25244.659961448167,0.036437880907163045,,0.7978,249988.4905045661,0.6639509201049805
