loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Principal+Interest,1100000,25,30,880000.0,0.4375,-11436381.635922277,5829374.475589539,-19082844.039640427,-15674902.105265193,-11404097.208199056,-6963829.340526728,-3801783.1269532857,708253.4866952187,99410146.0,0.99410146,0.0,12.493330466220883,12.493330466220883,nan,,0.999739,5840830.706399401,13.687435150146484
Interest Only,1100000,30,30,880000.0,0.4375,1070303.1940061997,1372250.5087700062,417495.277347541,475444.63656707684,564499.5057139376,1002982.2874593443,2347537.767398525,236315.27870190624,3302538.0,0.02752115,0.0,222796.45835007232,222796.45835007232,0.04121170620870718,,0.508617,70321.095146173,16.377446174621582
Principal+Interest,1100000,30,30,880000.0,0.4375,-22081826.998126388,14144253.416547425,-41913296.88845671,-31956658.791126184,-20198455.271846734,-11409244.918761631,-3974855.532990394,844880.2725058438,117904128.0,0.9825344,0.0,135.08989152572835,135.08989152572835,nan,,0.998866,9328784.306674747,16.2441189289093
Interest Only,1200000,10,10,960000.0,0.8125,1489150.5882798973,432955.3487707965,1038408.3917619237,1225875.066123622,1408221.9350643142,1663811.7575798652,2028781.2066354763,328780.4591745,9403610.0,0.23509025,0.0,171168.49482644847,171168.49482644847,0.07847404011245596,0.019409513697258116,0.285658,58627.20364108689,5.606642961502075
Principal+Interest,1200000,10,10,960000.0,0.8125,-140515.69330033244,529815.9195873756,-833808.2647209963,-516719.80656297726,-113720.89337767432,201124.8938119249,508860.02428014844,570473.333481375,39595612.0,0.9898903,0.0,332.3804717027993,332.3804717027993,nan,,0.993636,1099817.3504707117,5.5198681354522705
Interest Only,1200000,10,15,960000.0,0.71875,1296758.993515055,373736.71812734683,907892.0125792354,1070322.301707153,1228310.6023181286,1445784.3783818625,1760674.2203265887,294711.115929375,9410466.0,0.23526165,0.0,113737.85947609646,113737.85947609646,0.0741187631333966,0.018332818496838654,0.300434,55611.134595958814,5.4611170291900635
Principal+Interest,1200000,10,15,960000.0,0.71875,-498520.1869154509,523356.5272425196,-1145858.3876363048,-868450.8774006459,-524527.6398177253,-121084.80510071864,174604.65635294735,506502.565748625,39892105.0,0.997302625,0.0,15.87528184719001,15.87528184719001,nan,,0.998737,1249229.6721028034,5.466990947723389
Interest Only,1200000,10,20,960000.0,0.625,1104483.7151316379,314581.1855489656,777339.8776695285,914618.0708239278,1048530.2422536856,1228090.535853932,1492819.4485055152,260741.122280625,9419874.0,0.23549685,0.0,65416.699273231214,65416.699273231214,0.0690542993772354,0.017074183014801403,0.320565,52882.52783880483,5.53309178352356
Principal+Interest,1200000,10,20,960000.0,0.625,-919029.8316978836,523795.94275413646,-1531214.4794633277,-1227497.6974790161,-929429.602977997,-598820.6436757671,-250448.14943969503,441239.911705125,39987618.0,0.99969045,0.0,0.0,0.0,nan,,0.999944,1444541.9893194456,5.617727994918823
Interest Only,1200000,10,25,960000.0,0.53125,912411.8698205007,255512.94654431046,646837.2960903151,758993.8816111893,870669.706260954,1010810.0369311958,1224925.3012344267,226946.759404875,9434970.0,0.23587425,0.0,29655.91773714207,29655.91773714207,0.06328869833301098,0.015630687597289156,0.349249,50624.996207646065,5.499191045761108
